id,account,ticker,signal,plan_date,entry_date,entry_price,shares,adds,last_add_date,initial_entry_price,initial_shares,stop_price,target_price,risk_per_share,r_multiple_target,stop_type,status,exit_date,exit_price,exit_reason,pnl_abs,pnl_pct,notes
INDIVIDUAL-MCHP-2026-05-12,INDIVIDUAL,MCHP,EMA8_PULLBACK,2026-05-12,2026-05-12,95.98,104,,,,,93.93,102.92,2.0469,2.00,TRAIL_EMA8,OPEN,,,,,,"EMA8_PULLBACK | 104sh @$95.98 = $9,982 | stop $93.93 (-2.1%) [TRAIL_EMA8] | tgt $102.92 (+7.2%) | risk $213 ($2.05/sh) | regime=BULL"
INDIVIDUAL-TSM-2026-05-12,INDIVIDUAL,TSM,EMA8_PULLBACK,2026-05-12,2026-05-12,395.90,25,,,,,392.51,419.50,3.3863,2.00,TRAIL_EMA8,OPEN,,,,,,"EMA8_PULLBACK | 25sh @$395.90 = $9,897 | stop $392.51 (-0.9%) [TRAIL_EMA8] | tgt $419.50 (+6.0%) | risk $85 ($3.39/sh) | regime=BULL"
INDIVIDUAL-ORCL-2026-05-12,INDIVIDUAL,ORCL,EMA8_PULLBACK,2026-05-12,2026-05-12,185.39,53,,,,,180.38,195.95,5.0052,2.00,TRAIL_EMA8,OPEN,,,,,,"EMA8_PULLBACK | 53sh @$185.39 = $9,826 | stop $180.38 (-2.7%) [TRAIL_EMA8] | tgt $195.95 (+5.7%) | risk $265 ($5.01/sh) | regime=BULL"
INDIVIDUAL-CARR-2026-05-12,INDIVIDUAL,CARR,EMA8_PULLBACK,2026-05-12,2026-05-12,65.03,153,,,,,63.86,67.90,1.1669,2.00,TRAIL_EMA8,OPEN,,,,,,"EMA8_PULLBACK | 153sh @$65.03 = $9,950 | stop $63.86 (-1.8%) [TRAIL_EMA8] | tgt $67.90 (+4.4%) | risk $179 ($1.17/sh) | regime=BULL"
INDIVIDUAL-GOOGL-2026-05-12,INDIVIDUAL,GOOGL,EMA8_PULLBACK,2026-05-12,2026-05-12,386.59,25,,,,,379.38,401.01,7.2107,2.00,TRAIL_EMA8,OPEN,,,,,,"EMA8_PULLBACK | 25sh @$386.59 = $9,665 | stop $379.38 (-1.9%) [TRAIL_EMA8] | tgt $401.01 (+3.7%) | risk $180 ($7.21/sh) | regime=BULL"
INDIVIDUAL-MS-2026-05-12,INDIVIDUAL,MS,EMA8_PULLBACK,2026-05-12,2026-05-12,187.22,53,,,,,186.57,193.35,0.6526,2.00,TRAIL_EMA8,OPEN,,,,,,"EMA8_PULLBACK | 53sh @$187.22 = $9,923 | stop $186.57 (-0.3%) [TRAIL_EMA8] | tgt $193.35 (+3.3%) | risk $35 ($0.65/sh) | regime=BULL"
INDIVIDUAL-ON-2026-05-12,INDIVIDUAL,ON,EMA8_PULLBACK,2026-05-12,2026-05-12,101.92,98,,,,,98.87,108.03,3.0543,2.00,TRAIL_EMA8,OPEN,,,,,,"EMA8_PULLBACK | 98sh @$101.92 = $9,988 | stop $98.87 (-3.0%) [TRAIL_EMA8] | tgt $108.03 (+6.0%) | risk $299 ($3.05/sh) | regime=BULL"
INDIVIDUAL-CDNS-2026-05-12,INDIVIDUAL,CDNS,EMA8_PULLBACK,2026-05-12,2026-05-12,358.64,27,,,,,345.47,384.98,13.1723,2.00,TRAIL_EMA8,OPEN,,,,,,"EMA8_PULLBACK | 27sh @$358.64 = $9,683 | stop $345.47 (-3.7%) [TRAIL_EMA8] | tgt $384.98 (+7.3%) | risk $356 ($13.17/sh) | regime=BULL"
INDIVIDUAL-CAT-2026-05-12,INDIVIDUAL,CAT,EMA8_PULLBACK,2026-05-12,2026-05-12,903.04,11,,,,,874.79,959.54,28.2476,2.00,TRAIL_EMA8,OPEN,,,,,,"EMA8_PULLBACK | 11sh @$903.04 = $9,933 | stop $874.79 (-3.1%) [TRAIL_EMA8] | tgt $959.54 (+6.3%) | risk $311 ($28.25/sh) | regime=BULL"
INDIVIDUAL-SNPS-2026-05-12,INDIVIDUAL,SNPS,EMA8_PULLBACK,2026-05-12,2026-05-12,511.55,19,,,,,493.57,547.53,17.9861,2.00,TRAIL_EMA8,OPEN,,,,,,"EMA8_PULLBACK | 19sh @$511.55 = $9,720 | stop $493.57 (-3.5%) [TRAIL_EMA8] | tgt $547.53 (+7.0%) | risk $342 ($17.99/sh) | regime=BULL"
INDIVIDUAL-SBUX-2026-05-12,INDIVIDUAL,SBUX,EMA8_PULLBACK,2026-05-12,2026-05-12,105.13,95,,,,,102.78,109.84,2.3532,2.00,TRAIL_EMA8,OPEN,,,,,,"EMA8_PULLBACK | 95sh @$105.13 = $9,987 | stop $102.78 (-2.2%) [TRAIL_EMA8] | tgt $109.84 (+4.5%) | risk $224 ($2.35/sh) | regime=BULL"
INDIVIDUAL-AVGO-2026-05-12,INDIVIDUAL,AVGO,EMA8_PULLBACK,2026-05-12,2026-05-12,424.72,23,,,,,411.83,450.49,12.8874,2.00,TRAIL_EMA8,OPEN,,,,,,"EMA8_PULLBACK | 23sh @$424.72 = $9,769 | stop $411.83 (-3.0%) [TRAIL_EMA8] | tgt $450.49 (+6.1%) | risk $296 ($12.89/sh) | regime=BULL"
INDIVIDUAL-KO-2026-05-12,INDIVIDUAL,KO,EMA8_PULLBACK,2026-05-12,2026-05-12,78.89,126,,,,,77.55,81.59,1.3484,2.00,TRAIL_EMA8,OPEN,,,,,,"EMA8_PULLBACK | 126sh @$78.89 = $9,941 | stop $77.55 (-1.7%) [TRAIL_EMA8] | tgt $81.59 (+3.4%) | risk $170 ($1.35/sh) | regime=BULL"
INDIVIDUAL-V-2026-05-12,INDIVIDUAL,V,EMA8_PULLBACK,2026-05-12,2026-05-12,325.27,30,,,,,317.14,341.53,8.1320,2.00,TRAIL_EMA8,OPEN,,,,,,"EMA8_PULLBACK | 30sh @$325.27 = $9,758 | stop $317.14 (-2.5%) [TRAIL_EMA8] | tgt $341.53 (+5.0%) | risk $244 ($8.13/sh) | regime=BULL"
