id,account,open_date,week_id,ticker,expiry,dte_open,strike,contracts,premium,fill_premium,cash_reserved,tier,status,close_date,close_type,underlying_close_at_expiry,shares_if_assigned,assignment_cost_basis,notes
INTC-2026-03-27-43.00-2026-02-24,INDIVIDUAL,2026-02-24,2026-W09,INTC,2026-03-27,31,43.00,1,190.00,,4300.00,BALANCED,CLOSED_TP,2026-03-11,CLOSED_TAKE_PROFIT,,,,TP at 50%: orig $190 → current $78 | profit $112
C-2026-03-27-102.00-2026-02-27,IRA,2026-02-27,2026-W09,C,2026-03-27,28,102.00,1,185.00,,10200.00,BALANCED,CLOSED_TP,2026-03-17,CLOSED_TAKE_PROFIT,,,,TP at 50%: orig $185 → current $92 | profit $94
WMT-2026-03-27-120.00-2026-02-27,ROTH,2026-02-27,2026-W09,WMT,2026-03-27,28,120.00,1,124.50,,12000.00,CONSERVATIVE,CLOSED_TP,2026-03-17,CLOSED_TAKE_PROFIT,,,,TP at 50%: orig $124 → current $60 | profit $65
XOM-2026-04-02-142.00-2026-03-03-120418,INDIVIDUAL,2026-03-03,2026-W10,XOM,2026-04-02,30,142.00,1,261.50,250.20,14200.00,BALANCED,CLOSED_TP,2026-03-12,CLOSED_TAKE_PROFIT,,,,TP at 50%: orig $262 → current $107 | profit $154
XLE-2026-03-31-52.50-2026-03-04-104453,IRA,2026-03-04,2026-W10,XLE,2026-03-31,27,52.50,3,207.00,194.25,15750.00,CONSERVATIVE,CLOSED_TP,2026-03-12,CLOSED_TAKE_PROFIT,,,,TP at 50%: orig $207 → current $74 | profit $134
TGT-2026-04-10-110.00-2026-03-09-145515,INDIVIDUAL,2026-03-09,2026-W11,TGT,2026-04-10,32,110.00,1,178.00,172.85,11000.00,BALANCED,CLOSED_TP,2026-03-26,CLOSED_TAKE_PROFIT,,,,TP at 50%: orig $178 → current $84 | profit $94
ON-2026-04-17-55.00-2026-03-17-090827,INDIVIDUAL,2026-03-17,2026-W12,ON,2026-04-17,31,55.00,3,460.50,432.00,16500.00,AGGRESSIVE,CLOSED_TP,2026-03-25,CLOSED_TAKE_PROFIT,,,,TP at 50%: orig $460 → current $220 | profit $240
MRK-2026-04-17-105.00-2026-03-17-090827,IRA,2026-03-17,2026-W12,MRK,2026-04-17,31,105.00,1,107.00,97.05,10500.00,CONSERVATIVE,CLOSED_TP,2026-03-25,CLOSED_TAKE_PROFIT,,,,TP at 50%: orig $107 → current $42 | profit $64
SBUX-2026-04-17-90.00-2026-03-17-090827,ROTH,2026-03-17,2026-W12,SBUX,2026-04-17,31,90.00,1,106.50,100.90,9000.00,CONSERVATIVE,CLOSED_TP,2026-04-08,CLOSED_TAKE_PROFIT,,,,TP at 50%: orig $106 → current $36 | profit $70
BMY-2026-04-17-55.00-2026-03-18-120320,ROTH,2026-03-18,2026-W12,BMY,2026-04-17,30,55.00,1,61.00,59.45,5500.00,CONSERVATIVE,CLOSED_TP,2026-03-31,CLOSED_TAKE_PROFIT,,,,TP at 50%: orig $61 → current $29 | profit $32
